,0,1
122,tt0328107,Man on Fire
123,tt0048356,Marty
124,tt0066026,MASH
125,tt0033891,Meet John Doe
126,tt0119664,Metro
127,tt0017136,Metropolis
128,tt0102460,Mobsters
129,tt0166276,Monkeybone
130,tt0177023,My Mother Dreams the Satan's Disciples in New York
131,tt0140397,Mumford
132,tt0120616,The Mummy
133,tt0132347,Mystery Men
134,tt0195945,Next Friday
135,tt0113972,Nick of Time
136,tt0048424,The Night of the Hunter
137,tt0087800,A Nightmare on Elm Street
138,tt0031725,Ninotchka
139,tt0113987,Nixon
140,tt0477348,No Country for Old Men
141,tt0171580,Nurse Betty
142,tt0190590,"O Brother, Where Art Thou?"
143,tt0084434,An Officer and a Gentleman
144,tt0258000,Panic Room
145,tt0114084,Panther
146,tt0187393,The Patriot
147,tt0098084,Pet Sematary
148,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl
149,tt0200365,Plastic Man
150,tt0022268,Platinum Blonde
151,tt0120789,Pleasantville
152,tt0272338,Punch-Drunk Love
153,tt0180073,Quills
154,tt0120801,RKO 281
155,tt0081398,Raging Bull
156,tt0047396,Rear Window
157,tt0048545,Rebel Without a Cause
158,tt0184858,Reindeer Games
159,tt0105236,Reservoir Dogs
160,tt0041827,Roughshod
161,tt0257106,Scary Movie 2
162,tt0111127,Serial Mom
163,tt0036341,The Seventh Victim
164,tt0098724,"Sex, Lies, and Videotape"
165,tt0073705,Shivers
166,tt0083067,Shock Treatment
167,tt0375063,Sideways
168,tt0286106,Signs
169,tt0090022,Silverado
170,tt0167404,The Sixth Sense
171,tt0301848,Slash
172,tt0439815,Slither
173,tt0076729,Smokey and the Bandit
174,tt0475394,Smokin' Aces
175,tt0307479,Solaris
176,tt0094008,Someone to Watch Over Me
177,tt0145487,Spider-Man
178,tt0046359,Stalag 17
179,tt0111280,Star Trek: Generations
180,tt0088170,Star Trek III: The Search for Spock
181,tt0092007,Star Trek IV: The Voyage Home
182,tt0120844,Star Trek: Insurrection
183,tt0117731,Star Trek: First Contact
184,tt0102975,Star Trek VI: The Undiscovered Country
185,tt0253754,Star Trek: Nemesis
186,tt0088172,Starman
187,tt0114558,Strange Days
188,tt0324127,Suspect Zero
189,tt0117802,Swingers
190,tt0068646,The Godfather
191,tt0075314,Taxi Driver
192,tt0117500,The Rock
193,tt0268995,The Majestic
194,tt0056869,The Birds
195,tt0037549,The Body Snatcher
196,tt0132910,The Crow: Salvation
197,tt0970416,The Day the Earth Stood Still
198,tt0093437,The Lost Boys
199,tt0084787,The Thing
200,tt0268695,The Time Machine
201,tt0366627,The Jacket
202,tt0129387,There's Something About Mary
203,tt0146309,Thirteen Days
204,tt0105585,Thunderheart
205,tt0092099,Top Gun
206,tt0100802,Total Recall
207,tt0100814,Tremors
208,tt0098524,True Believer
209,tt0105665,Twin Peaks: Fire Walk with Me
210,tt0084855,The Verdict
211,tt0046534,The War of the Worlds
212,tt0111686,New Nightmare
213,tt0118158,White Squall
214,tt0100935,Wild at Heart
215,tt0185014,Wonder Boys
216,tt0361127,The Woodsman
217,tt0096754,The Abyss
218,tt0053619,L'Avventura
219,tt0088683,Agnes of God
220,tt0058182,A Hard Day's Night
221,tt0078748,Alien
222,tt0370263,AVP: Alien vs. Predator
223,tt0042192,All About Eve
224,tt0074119,All the President's Men
225,tt0163651,American Pie
226,tt0118604,An American Werewolf in Paris
227,tt0118617,Anastasia
228,tt0075686,Annie Hall
229,tt0254099,The Anniversary Party
230,tt0120587,Antz
231,tt0053604,The Apartment
232,tt0078788,Apocalypse Now
233,tt0106303,Arctic Blue
234,tt0119822,As Good as It Gets
235,tt0112401,Assassins
236,tt0281358,A Walk to Remember
237,tt0088763,Back to the Future
238,tt0069762,Badlands
239,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension
240,tt0101410,Barton Fink
241,tt0103772,Basic Instinct
242,tt0115632,Basquiat
243,tt0103776,Batman Returns
244,tt0041162,Batman and Robin
245,tt0112462,Batman Forever
246,tt0096895,Batman
247,tt0118689,Bean
248,tt0115641,Beavis and Butt-Head Do America
249,tt0078841,Being There
250,tt0120601,Being John Malkovich
251,tt0120603,Beloved
252,tt0118715,The Big Lebowski
253,tt0387877,The Black Dahlia
254,tt0187738,Blade II
255,tt0120611,Blade
256,tt0229260,Book of Shadows: Blair Witch 2
257,tt0086979,Blood Simple
258,tt0118745,Bloodmoon
259,tt0221027,Blow
260,tt0106453,Body of Evidence
261,tt0112579,The Bridges of Madison County
262,tt0166110,Bones
263,tt0115736,Bound
264,tt0258463,The Bourne Identity
265,tt0088846,Brazil
266,tt0163988,Bringing Out the Dead
267,tt0092699,Broadcast News
268,tt0052655,A Bucket of Blood
269,tt0103893,Buffy the Vampire Slayer
270,tt0094812,Bull Durham
271,tt0112641,Casino
272,tt0327554,Catwoman
273,tt0337921,Cellular
274,tt0104036,The Crying Game
275,tt0056923,Charade
276,tt0175526,Cherry Falls
277,tt0163579,Chill Factor
278,tt0071315,Chinatown
279,tt0033467,Citizen Kane
280,tt0106582,Cliffhanger
281,tt0066921,A Clockwork Orange
282,tt0369339,Collateral
283,tt0118883,Conspiracy Theory
284,tt0118884,Contact
285,tt0061512,Cool Hand Luke
286,tt0112722,Copycat
287,tt0375679,Crash
288,tt0790706,Crazy Love
289,tt0310924,Crime Spree
290,tt0190332,"Crouching Tiger, Hidden Dragon"
291,tt0109506,The Crow
292,tt0139134,Cruel Intentions
293,tt0036733,The Curse of the Cat People
294,tt0092809,The Curse
295,tt0118929,Dark City
296,tt0106673,Dave
297,tt0088993,Day of the Dead
298,tt0097165,Dead Poets Society
299,tt0118956,Deep Rising
300,tt0077416,The Deer Hunter
301,tt0106697,Demolition Man
302,tt0033532,The Devil and Daniel Webster
303,tt0095016,Die Hard
304,tt0072890,Dog Day Afternoon
305,tt0421054,Domino
306,tt0097216,Do the Right Thing
307,tt0329028,Dumb and Dumberer: When Harry Met Lloyd
308,tt0087182,Dune
309,tt0109707,Ed Wood
310,tt0131369,Edtv
311,tt0126886,Election
312,tt0119488,L.A. Confidential
313,tt0120660,Enemy of the State
314,tt0116209,The English Patient
315,tt0137494,Entrapment
316,tt0195685,Erin Brockovich
317,tt0067065,Escape from the Planet of the Apes
318,tt0116225,Escape from L.A.
319,tt0082348,Excalibur
320,tt0070047,The Exorcist
321,tt0097322,The Fabulous Baker Boys
322,tt0119094,Face/Off
323,tt0218967,The Family Man
324,tt0109770,The Fantastic Four
325,tt0060397,Fantastic Voyage
326,tt0116282,Fargo
327,tt0137523,Fight Club
328,tt0309593,Final Destination 2
329,tt0195714,Final Destination
330,tt0089880,Rambo: First Blood Part II
331,tt0101889,The Fisher King
332,tt0065724,Five Easy Pieces
333,tt0240507,Five Feet High and Rising
334,tt0089155,Fletch
335,tt0098987,The Adventures of Ford Fairlane
336,tt0067116,The French Connection
337,tt0186151,Frequency
338,tt0083972,Friday the 13th Part III
339,tt0107254,Jason Goes to Hell: The Final Friday
340,tt0097388,Friday the 13th Part VIII: Jason Takes Manhattan
341,tt0425055,Game 6
342,tt0083987,Gandhi
343,tt0119177,Gattaca
344,tt0068638,The Getaway
345,tt0208988,Get Carter
346,tt0104348,Glengarry Glen Ross
347,tt0071562,The Godfather: Part II
348,tt0120684,Gods and Monsters
349,tt0099685,Goodfellas
350,tt0119217,Good Will Hunting
351,tt0032551,The Grapes of Wrath
352,tt0119229,Grosse Pointe Blank
353,tt0119314,The Horse Whisperer
354,tt0113243,Hackers
355,tt0095271,Halloween 4: The Return of Michael Myers
356,tt0077651,Halloween
357,tt0091167,Hannah and Her Sisters
358,tt0212985,Hannibal
359,tt0210094,Happy Campers
360,tt0097493,Heathers
361,tt0110005,Heavenly Creatures
362,tt0274546,Hellraiser: Hellseeker
363,tt0299977,Hero
364,tt0097503,Hider in the House
365,tt0340163,Hostage
366,tt0395169,Hotel Rwanda
367,tt0185371,House on Haunted Hill
368,tt0116573,House of the Damned
369,tt0104409,Hellraiser III: Hell on Earth
370,tt0102070,Hudson Hawk
371,tt0110074,The Hudsucker Proxy
372,tt0036027,I Walked with a Zombie
373,tt0119349,The Ice Storm
374,tt0278504,Insomnia
375,tt0110148,Interview with the Vampire: The Vampire Chronicles
376,tt0130018,I Still Know What You Did Last Summer
377,tt0037820,Isle of the Dead
378,tt0038650,It's a Wonderful Life
379,tt0077766,Jaws 2
380,tt0085750,Jaws 3-D
381,tt0093300,Jaws: The Revenge
382,tt0018037,The Jazz Singer
383,tt0116695,Jerry Maguire
384,tt0163025,Jurassic Park III
385,tt0119567,The Lost World: Jurassic Park
386,tt0107290,Jurassic Park
387,tt0329101,Freddy vs. Jason
388,tt0102181,Kafka
389,tt0360717,King Kong
390,tt0067309,Klute
391,tt0079417,Kramer vs. Kramer
392,tt0119485,Kundun
393,tt0139414,Lake Placid
394,tt0102926,The Silence of the Lambs
395,tt0076300,Last of the Mohicans
396,tt2802154,Leviathan
397,tt0120735,"Lock, Stock and Two Smoking Barrels"
398,tt0116905,Lone Star
399,tt0113690,Lord of Illusions
400,tt0335266,Lost in Translation
401,tt0160484,Lost Souls
402,tt3774694,Love
403,tt0175880,Magnolia
404,tt0120744,The Man in the Iron Mask
405,tt1054115,Manhunt
406,tt0091474,Manhunter
407,tt0125664,Man on the Moon
408,tt0133093,The Matrix
409,tt0085636,Halloween III: Season of the Witch
410,tt0119643,Meet Joe Black
411,tt0209144,Memento
412,tt0430357,Miami Vice
413,tt0064665,Midnight Cowboy
414,tt0077928,Midnight Express
415,tt0119675,Mimic
416,tt0100157,Misery
417,tt0120755,Mission: Impossible II
418,tt1229238,Mission: Impossible - Ghost Protocol
419,tt0093565,Moonstruck
420,tt0071853,Monty Python and the Holy Grail
421,tt0119280,Mrs Brown
422,tt0106302,Arcade
423,tt1619856,Mulholland Dr.
424,tt3378430,Murderland
425,tt0110613,My Girl 2
426,tt0102492,My Girl
427,tt0119738,My Best Friend's Wedding
428,tt0073440,Nashville
429,tt0110632,Natural Born Killers
430,tt0058414,Nothing But a Man
431,tt0120768,The Negotiator
432,tt5781696,Revelator: The Neuromancer
433,tt0151738,Never Been Kissed
434,tt0107688,The Nightmare Before Christmas
435,tt0093629,A Nightmare on Elm Street 3: Dream Warriors
436,tt0125439,Notting Hill
437,tt0073486,One Flew Over the Cuckoo's Nest
438,tt0110737,Only You
439,tt0047296,On the Waterfront
440,tt0054240,Orgy of the Dead
441,tt0120780,Out of Sight
442,tt0213149,Pearl Harbor
443,tt0091738,Peggy Sue Got Married
444,tt0105128,Pet Sematary II
445,tt0107818,Philadelphia
446,tt0134847,Pitch Black
447,tt0133152,Planet of the Apes
448,tt0091763,Platoon
449,tt1682940,Playback
450,tt0086122,The Ploughman's Lunch
451,tt0102685,Point Break
452,tt0093773,Predator
453,tt0100405,Pretty Woman
454,tt0093779,The Princess Bride
455,tt0063462,The Producers
456,tt0054215,Psycho
457,tt2103217,Maniac
458,tt0023649,Vampyr
459,tt0024368,Mystery of the Wax Museum
460,tt0239860,Quantum Project
461,tt0102753,Rambling Rose
462,tt0469169,Red White Black & Blue
463,tt0086190,Star Wars: Episode VI - Return of the Jedi
464,tt0073629,The Rocky Horror Picture Show
465,tt0075148,Rocky
466,tt0096438,Who Framed Roger Rabbit
467,tt0063518,Romeo and Juliet
468,tt0122690,Ronin
469,tt0140519,Route 9
470,tt0266915,Rush Hour 2
471,tt0120812,Rush Hour
472,tt0163187,Runaway Bride
473,tt0108160,Sleepless in Seattle
474,tt0047443,Salt of the Earth
475,tt0235737,The Salton Sea
476,tt0120815,Saving Private Ryan
477,tt0098258,Say Anything...
478,tt0108052,Schindler's List
479,tt0120082,Scream 2
480,tt0134084,Scream 3
481,tt0117571,Scream
482,tt0047478,Seven Samurai
483,tt0049730,The Searchers
484,tt0221928,Seven Days to Live
485,tt0138097,Shakespeare in Love
486,tt0111149,Shallow Grave
487,tt0073692,Shampoo
488,tt0081505,The Shining
489,tt0090021,Silver Bullet
490,tt0105417,Sister Act
491,tt0162661,Sleepy Hollow
492,tt0117666,Sling Blade
493,tt0114478,Smoke
494,tt0120834,Snow Falling on Cedars
495,tt0120157,Soldier
496,tt0053291,Some Like It Hot
497,tt0372532,The Wedding Date
498,tt0069303,Sounder
499,tt0158983,"South Park: Bigger, Longer & Uncut"
500,tt0120174,Spacejacked
501,tt0108200,Spare Me
502,tt0120184,Sphere
503,tt0076759,Star Wars: Episode IV - A New Hope
504,tt0120201,Starship Troopers
505,tt0079945,Star Trek: The Motion Picture
506,tt0120202,State and Main
507,tt0120686,Stepmom
508,tt0250081,Storytelling
509,tt0111300,Stranglehold
510,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
511,tt0120238,SubUrbia
512,tt0990413,Sugar
513,tt2256853,Sunset Blvd.
514,tt0088206,Supergirl
515,tt0086393,Superman III
516,tt0081573,Superman II
517,tt0094074,Superman IV: The Quest for Peace
518,tt0078346,Superman
519,tt0120255,The Sweet Hereafter
520,tt0051036,Sweet Smell of Success
521,tt0103064,Terminator 2: Judgment Day
522,tt0260414,Taking Sides
523,tt0088247,The Terminator
524,tt0119174,The Game
525,tt0171363,The Haunting
526,tt0165854,The Limey
527,tt0243133,The Man Who Wasn't There
528,tt0120004,The Relic
529,tt0120382,The Truman Show
530,tt0120902,The X Files
531,tt0209958,The Cell
532,tt0041959,The Third Man
533,tt0163978,The Beach
534,tt0247199,The Believer
535,tt0317640,The Hebrew Hammer
536,tt0036104,The Leopard Man
537,tt0144286,The Lost Son
538,tt0790712,The Messenger
539,tt0253474,The Pianist
540,tt0107822,The Piano
541,tt0070735,The Sting
542,tt0025878,The Thin Man
543,tt0120188,Three Kings
544,tt0066434,THX 1138
545,tt0196158,Ticker
546,tt0023622,Trouble in Paradise
547,tt0120338,Titanic
548,tt0025905,Transatlantic Merry-Go-Round
549,tt0108358,Tombstone
550,tt0120347,Tomorrow Never Dies
551,tt0100791,To Sleep with Anger
552,tt0114709,Toy Story
553,tt0097806,The Magic Toyshop
554,tt0181865,Traffic
555,tt0117951,Trainspotting
556,tt0098382,Star Trek V: The Final Frontier
557,tt0084827,TRON
558,tt0111503,True Lies
559,tt0108399,True Romance
560,tt0114746,Twelve Monkeys
561,tt0102224,U-Turn
562,tt0120399,U Turn
563,tt0217869,Unbreakable
564,tt0105695,Unforgiven
565,tt0114814,The Usual Suspects
566,tt0439612,Verdict
567,tt0052357,Vertigo
568,tt0124198,Very Bad Things
569,tt0055601,Viridiana
570,tt0114857,Virtuosity
571,tt0120885,Wag the Dog
572,tt0094291,Wall Street
573,tt0096426,Waxwork
574,tt0161081,What Lies Beneath
575,tt0207201,What Women Want
576,tt0181904,The Witching Hour
577,tt0108558,White Angel
578,tt0287138,Who's Your Daddy?
579,tt0120890,Wild Things
580,tt0120891,Wild Wild West
581,tt0096446,Willow
582,tt0090329,Witness
583,tt0032138,The Wizard of Oz
584,tt0143145,The World Is Not Enough
585,tt0409459,Watchmen
586,tt0295701,xXx
587,tt0120903,X-Men
588,tt0072431,Young Frankenstein
589,tt0080180,Zulu Dawn
